,Modelflow,Obsflow,Error,NWM_min,NWM_max,ML_1min,ML_1max
0,232.4368698,396.435858,142.3445189,208.5099953,283.2199937,90.0923509,374.7813887
1,212.9337452,538.020093,141.8321562,196.5499956,233.0999948,71.10158906,354.7659014
2,203.0806205,509.703246,140.8758938,177.089996,250.4899944,62.20472663,343.9565143
3,186.6081208,574.8319941,126.3920301,173.0999961,202.6099955,60.21609071,313.0001509
4,192.8337457,512.5349307,133.5631752,175.2999961,222.889995,59.27057049,326.3969209
5,188.7912458,404.9309121,128.9941621,169.1999962,209.5699953,59.7970837,317.7854079
6,201.8962455,555.0102012,140.2593148,169.1499962,395.5399912,61.63693071,342.1555603
7,253.9849943,770.2182384,142.4373704,173.0899961,625.429986,111.5476239,396.4223647
8,246.9906195,736.238022,142.0073718,181.7999959,449.08999,104.9832477,388.9979913
9,273.6487439,764.554869,143.90908,204.0799954,352.2399921,129.7396639,417.5578239
10,292.7243685,631.4656881,144.6851504,248.5299944,380.4899915,148.0392181,437.4095188
11,329.5231176,555.0102012,145.0422168,247.8899945,527.1399882,184.4809009,474.5653344
12,312.571868,668.2775892,145.0151825,244.5399945,446.30999,167.5566855,457.5870505
13,290.8168685,756.0598149,144.7205609,244.3599945,421.6699906,146.0963076,435.5374294
14,272.9099939,756.0598149,143.8443184,232.9499948,416.7999907,129.0656755,416.7543123
15,261.7499941,705.0894903,142.8625709,233.3699948,352.6699921,118.8874233,404.612565
16,242.8306196,572.0003094,141.8711585,221.899995,322.0599928,100.9594611,384.7017781
17,252.8618693,535.1884083,142.3646575,220.7999951,318.2699929,110.4972118,395.2265269
18,288.5362436,518.1983001,144.7494048,256.8599943,324.7799927,143.7868388,433.2856483
19,273.7006189,478.5547143,143.9136177,241.2399946,333.6399925,129.7870012,417.6142366
20,247.6087445,404.9309121,142.0448112,229.0099949,304.8199932,105.5639332,389.6535557
21,242.5099946,399.2675427,141.8675667,215.6399952,286.5999936,100.6424279,384.3775613
22,225.587495,413.4259662,141.7979246,185.7299958,316.5599929,83.78957032,367.3854196
23,215.6937452,269.293215,142.0394921,192.9699957,322.2199928,73.65425305,357.7332373
24,199.1887455,264.479351,138.8201231,182.8099959,226.9399949,60.36862247,338.0088686
25,216.6674952,302.9902629,142.0775348,189.6499958,264.6699941,74.58996036,358.74503
26,206.7131204,600.3171564,141.4027882,181.2999959,262.0099941,65.31033222,348.1159085
27,199.8668705,656.9508504,139.1806579,180.929996,232.8799948,60.68621267,339.0475284
28,204.2099954,705.0894903,141.2162352,180.719996,238.8099947,62.99376027,345.4262306
29,198.2524956,648.4557963,138.3220726,181.4099959,231.5999948,59.93042294,336.5745682
30,242.9556196,719.2479138,141.8725705,192.1399957,390.3199913,101.0830491,384.8281901
31,207.7449954,637.1290575,141.4737737,189.0499958,222.709995,66.27122164,349.2187691
32,222.54062,591.8221023,141.8722826,192.3499957,239.2299947,80.6683374,364.4129027
33,233.0924948,549.3468318,142.299512,202.6199955,294.8699934,90.79298276,375.3920068
34,234.5724948,521.0299848,142.1853703,203.6499954,371.3399917,92.38712443,376.7578651
35,235.2474947,498.3765072,142.133317,209.8799953,277.4699938,93.11417775,377.3808117
36,216.5856202,433.2477591,142.0792758,190.4899957,244.3199945,74.50634431,358.664896
37,234.8143698,300.1585782,142.1667671,196.1299956,342.5599923,92.64760263,376.9811369
38,206.2824954,197.3684236,141.3733,189.4599958,280.3899937,64.90919543,347.6557953
39,203.0087455,169.0515766,140.8384544,184.5199959,235.1099947,62.1702911,343.8471998
40,202.9649955,174.9981145,140.815711,180.669996,263.4899941,62.14928444,343.7807065
41,237.4262447,196.2357497,141.960994,190.5099957,304.0999932,95.46525069,379.3872387
42,220.5306201,191.1387173,141.9662035,177.039996,296.8299934,78.56441662,362.4968235
43,198.7949956,193.6872335,138.6107719,169.0399962,285.4699936,60.18422366,337.4057675
44,299.6424933,190.8555488,144.7729021,190.3899957,613.9699863,154.8695912,444.4153954
45,381.0612415,154.3268162,145.2794796,171.6499962,825.9899815,235.7817619,526.3407211
46,253.9406193,163.3882072,142.4348068,175.7999961,339.9999924,111.5058125,396.3754261
47,242.1918696,208.6951624,141.8606985,164.3799963,465.8199896,100.3311711,384.052568
48,281.8162437,379.4457498,144.5508015,211.7899953,471.0399895,137.2654422,426.3670452
49,277.9593688,512.5349307,144.254576,175.4899961,463.5399896,133.7047928,422.2139448
50,325.4862427,597.4854717,145.0005138,224.529995,467.4099896,180.4857289,470.4867565
51,318.1024929,591.8221023,145.0936258,242.3699946,516.8799884,173.0088671,463.1961187
52,272.8918689,608.8122105,143.842591,166.2499963,485.6199891,129.0492779,416.7344599
53,231.0431198,693.7627515,142.4117756,171.7499962,296.6199934,88.63134425,373.4548954
54,229.6443699,900.4757346,142.479279,196.7399956,293.9999934,87.16509083,372.1236489
55,258.5418692,999.5846991,142.6492989,200.3199955,347.0199922,115.8925703,401.1911681
56,290.8512435,1098.693664,144.719944,210.7699953,381.8999915,146.1312995,435.5711875
57,339.7374924,1146.832304,145.1825565,233.9599948,495.4299889,194.5549359,484.9200489
58,395.5062412,1107.188718,144.70873,289.0099935,579.2599871,250.7975112,540.2149711
59,434.4193653,1056.218393,144.5304847,330.9099926,543.3999879,289.8888806,578.94985
60,455.0606148,985.4262756,144.9474871,337.7799925,612.8499863,310.1131277,600.0081019
61,413.1368658,934.455951,144.347592,322.0499928,523.6399883,268.7892738,557.4844578
62,365.8437418,903.3074193,145.6498849,309.9799931,484.7599892,220.1938569,511.4936268
63,436.1606153,877.822257,144.5452082,313.659993,948.2899788,291.615407,580.7058235
64,420.5324906,846.6737253,144.4066781,335.5599925,498.6099889,276.1258125,564.9391687
65,468.6299895,775.8816078,144.8896211,299.9499933,763.6399829,323.7403684,613.5196107
66,417.4599907,815.5251936,144.3825364,269.579994,679.5199848,273.0774543,561.8425271
67,345.1468673,733.4063373,145.2963144,280.1599937,429.8899904,199.8505529,490.4431816
68,340.9256174,724.9112832,145.2075893,287.2599936,449.00999,195.7180281,486.1332066
69,292.2481185,741.9013914,144.693979,249.2899944,361.1799919,147.5541394,436.9420975
70,254.3637443,659.7825351,142.4586743,227.1499949,316.3399929,111.90507,396.8224186
71,262.3156191,591.8221023,142.9044384,237.6499947,284.0299937,119.4111808,405.2200575
72,270.8981189,566.33694,143.6579299,232.4399948,312.089993,127.240189,414.5560488
73,312.010618,639.9607422,145.0046128,236.8699947,415.5699907,167.0060052,457.0152308
74,283.9362437,744.7330761,144.6558541,225.329995,446.63999,139.2803895,428.5920978
75,274.1068689,705.0894903,143.9490831,236.3499947,384.3899914,130.1577858,418.055952
76,239.0699947,665.4459045,141.8321973,211.3199953,304.6399932,97.23779735,380.902192
77,224.93562,631.4656881,141.8053001,206.0899954,251.0899944,83.13031986,366.7409201
78,217.4799951,600.3171564,142.0608097,202.0899955,239.1399947,75.41918541,359.5408049
79,166.0918713,535.1884083,105.4273689,159.0299964,170.4299962,60.66450241,271.5192402
80,164.0462463,427.5843897,103.2130802,158.8199965,178.329996,60.83316617,267.2593265
81,160.6968714,416.2576509,99.58285719,151.6999966,180.489996,61.11401422,260.2797286
82,153.2581216,410.5942815,91.68069661,146.0799967,161.3699964,61.57742497,244.9388182
83,163.1824964,396.435858,102.2712055,141.3999968,189.7899958,60.91129087,265.4537018
84,151.7712466,353.9605875,90.05990773,138.6799969,205.1399954,61.71133887,241.8311543
85,145.4299967,280.3367853,83.03466141,133.159997,191.5699957,62.39533534,228.4646582
86,151.7662466,278.6377745,90.05443782,125.5299972,239.8499946,61.71180879,241.8206844
87,157.7849965,259.665487,96.52283549,135.599997,214.6299952,61.26216098,254.307832
88,147.2987467,216.0575426,85.13726234,120.8599973,237.6799947,62.16148436,232.4360091
89,162.4206214,225.1189337,101.4336911,115.8199974,290.6099935,60.98693029,263.8543125
90,121.0193723,256.5506338,54.66394335,105.8699976,142.3199968,66.35542894,175.6833156
91,127.2924972,376.6140651,61.64680123,105.1899976,158.7799965,65.64569592,188.9392984
92,127.0537472,410.5942815,61.41483009,110.1399975,198.5699956,65.63891707,188.4685772
93,171.1462462,283.16847,110.7039481,113.8099975,287.2199936,60.44229803,281.8501943
94,125.2943722,238.4278517,59.50328559,99.42999778,168.7299962,65.79108661,184.7976578
95,138.1443719,214.6417003,73.69085521,98.98999779,231.6199948,64.45351671,211.8352271
96,265.5981191,322.8120558,143.1669945,122.0799973,1064.779976,122.4311246,408.7651135
97,185.5068709,402.0992274,125.1467258,121.1199973,449.31999,60.36014508,310.6535966
98,239.1031197,269.8595519,141.8308949,133.229997,650.9599854,97.27222471,380.9340146
99,224.003745,231.6318085,141.8157738,124.5099972,359.079992,82.18797115,365.8195188
100,223.811245,396.435858,141.8180084,121.8999973,371.2299917,81.99323657,365.6292534
101,192.9518707,634.2973728,133.6768919,131.9799971,420.0399906,59.27497876,326.6287626
102,180.836246,574.8319941,120.4654765,134.469997,284.4199936,60.37076945,301.3017225
103,133.525622,281.1862907,68.10165435,105.9199976,224.839995,65.42396766,201.6272764
104,128.8487471,239.5605256,63.15867841,100.9599977,213.8999952,65.69006871,192.0074255
105,129.4331221,212.093184,63.72644633,102.9099977,287.0499936,65.70667578,193.1595684
106,141.2856218,199.9169398,78.26689422,109.0599976,183.7899959,63.01872762,219.5525161
107,155.9093715,195.6694128,94.52369004,126.4099972,320.5399928,61.38568147,250.4330616
108,131.7143721,190.0060434,66.03763759,118.1399974,201.6399955,65.67673446,197.7520096
109,123.4137472,190.8555488,57.37439066,114.3899974,139.2999969,66.03935658,180.7881379
110,119.3549973,200.2001083,52.81136498,110.8099975,132.079997,66.54363235,172.1663623
