,Modelflow,Obsflow,Error,NWM_min,NWM_max,ML_1min,ML_1max
0,232.4368698,396.435858,166.0956305,208.5099953,283.2199937,66.34123928,398.5325003
1,212.9337452,538.020093,148.8044101,196.5499956,233.0999948,64.12933514,361.7381553
2,203.0806205,509.703246,138.7585968,177.089996,250.4899944,64.32202368,341.8392172
3,186.6081208,574.8319941,121.2951082,173.0999961,202.6099955,65.31301263,307.903229
4,192.8337457,512.5349307,128.0574626,175.2999961,222.889995,64.77628312,320.8912083
5,188.7912458,404.9309121,123.6801845,169.1999962,209.5699953,65.1110613,312.4714303
6,201.8962455,555.0102012,137.6632559,169.1499962,395.5399912,64.23298956,339.5595014
7,253.9849943,770.2182384,185.0637716,173.0899961,625.429986,68.92122272,439.0487659
8,246.9906195,736.238022,178.7931204,181.7999959,449.08999,68.1974991,425.7837399
9,273.6487439,764.554869,200.5106699,204.0799954,352.2399921,73.13807394,474.1594138
10,292.7243685,631.4656881,209.8626673,248.5299944,380.4899915,82.86170113,502.5870358
11,329.5231176,555.0102012,211.7105675,247.8899945,527.1399882,117.8125502,541.2336851
12,312.571868,668.2775892,212.8302282,244.5399945,446.30999,99.7416398,525.4020962
13,290.8168685,756.0598149,209.0488422,244.3599945,421.6699906,81.76802631,499.8657107
14,272.9099939,756.0598149,200.0893217,232.9499948,416.7999907,72.82067217,472.9993156
15,261.7499941,705.0894903,191.9401443,233.3699948,352.6699921,69.80984985,453.6901384
16,242.8306196,572.0003094,175.2272135,221.899995,322.0599928,67.60340607,418.0578331
17,252.8618693,535.1884083,184.062379,220.7999951,318.2699929,68.79949035,436.9242484
18,288.5362436,518.1983001,208.0674374,256.8599943,324.7799927,80.46880614,496.603681
19,273.7006189,478.5547143,200.5402404,241.2399946,333.6399925,73.16037848,474.2408593
20,247.6087445,404.9309121,179.3442935,229.0099949,304.8199932,68.26445099,426.9530379
21,242.5099946,399.2675427,174.9447519,215.6399952,286.5999936,67.56524272,417.4547464
22,225.587495,413.4259662,159.9772048,185.7299958,316.5599929,65.61029016,385.5646998
23,215.6937452,269.293215,151.0870659,192.9699957,322.2199928,64.60667924,366.7808111
24,199.1887455,264.479351,134.8843729,182.8099959,226.9399949,64.3043726,334.0731185
25,216.6674952,302.9902629,151.8826306,189.6499958,264.6699941,64.78486457,368.5501257
26,206.7131204,600.3171564,142.1180725,181.2999959,262.0099941,64.59504787,348.8311929
27,199.8668705,656.9508504,135.6070739,180.929996,232.8799948,64.25979663,335.4739444
28,204.2099954,705.0894903,139.8030907,180.719996,238.8099947,64.40690474,344.0130861
29,198.2524956,648.4557963,133.8865584,181.4099959,231.5999948,64.36593716,332.139054
30,242.9556196,719.2479138,175.337311,192.1399957,390.3199913,67.61830854,418.2929306
31,207.7449954,637.1290575,143.0723882,189.0499958,222.709995,64.67260718,350.8173835
32,222.54062,591.8221023,157.0479059,192.3499957,239.2299947,65.4927141,379.5885259
33,233.0924948,549.3468318,166.6768265,202.6199955,294.8699934,66.41566831,399.7693213
34,234.5724948,521.0299848,168.0003822,203.6499954,371.3399917,66.57211257,402.5728769
35,235.2474947,498.3765072,168.5741478,209.8799953,277.4699938,66.67334692,403.8216426
36,216.5856202,433.2477591,151.8156207,190.4899957,244.3199945,64.7699995,368.4012408
37,234.8143698,300.1585782,168.2075262,196.1299956,342.5599923,66.60684354,403.021896
38,206.2824954,197.3684236,141.7198104,189.4599958,280.3899937,64.56268502,348.0023058
39,203.0087455,169.0515766,138.6921352,184.5199959,235.1099947,64.31661025,341.7008807
40,202.9649955,174.9981145,138.6516523,180.669996,263.4899941,64.31334313,341.6166478
41,237.4262447,196.2357497,170.4758424,190.5099957,304.0999932,66.95040234,407.902087
42,220.5306201,191.1387173,154.9190521,177.039996,296.8299934,65.61156795,375.4496722
43,198.7949956,193.6872335,134.4647247,169.0399962,285.4699936,64.3302709,333.2597202
44,299.6424933,190.8555488,212.6414955,190.3899957,613.9699863,87.00099784,512.2839888
45,381.0612415,154.3268162,208.2666713,171.6499962,825.9899815,172.7945702,589.3279128
46,253.9406193,163.3882072,185.0242209,175.7999961,339.9999924,68.91639838,438.9648403
47,242.1918696,208.6951624,174.66447,164.3799963,465.8199896,67.52739963,416.8563395
48,281.8162437,379.4457498,205.0258887,211.7899953,471.0399895,76.79035502,486.8421324
49,277.9593688,512.5349307,202.9692405,175.4899961,463.5399896,74.99012824,480.9286093
50,325.4862427,597.4854717,211.9889712,224.529995,467.4099896,113.4972715,537.475214
51,318.1024929,591.8221023,212.4986333,242.3699946,516.8799884,105.6038596,530.6011262
52,272.8918689,608.8122105,200.0789714,166.2499963,485.6199891,72.81289751,472.9708403
53,231.0431198,693.7627515,164.8542744,171.7499962,296.6199934,66.18884544,395.8973942
54,229.6443699,900.4757346,163.6014849,196.7399956,293.9999934,66.04288497,393.2458548
55,258.5418692,999.5846991,189.1002011,200.3199955,347.0199922,69.44166809,447.6420704
56,290.8512435,1098.693664,209.0636343,210.7699953,381.8999915,81.78760922,499.9148778
57,339.7374924,1146.832304,211.697681,233.9599948,495.4299889,128.0398115,551.4351734
58,395.5062412,1107.188718,202.9187226,289.0099935,579.2599871,192.5875185,598.4249638
59,434.4193653,1056.218393,188.8125712,330.9099926,543.3999879,245.6067941,623.2319365
60,455.0606148,985.4262756,184.1756159,337.7799925,612.8499863,270.8849989,639.2362307
61,413.1368658,934.455951,196.1803454,322.0499928,523.6399883,216.9565203,609.3172112
62,365.8437418,903.3074193,210.5425686,309.9799931,484.7599892,155.3011733,576.3863104
63,436.1606153,877.822257,188.3251727,313.659993,948.2899788,247.8354426,624.4857879
64,420.5324906,846.6737253,193.3956498,335.5599925,498.6099889,227.1368408,613.9281404
65,468.6299895,775.8816078,183.684653,299.9499933,763.6399829,284.9453365,652.3146426
66,417.4599907,815.5251936,194.5343798,269.579994,679.5199848,222.9256108,611.9943705
67,345.1468673,733.4063373,211.7037404,280.1599937,429.8899904,133.4431269,556.8506076
68,340.9256174,724.9112832,211.7010534,287.2599936,449.00999,129.224564,552.6266708
69,292.2481185,741.9013914,209.6647084,249.2899944,361.1799919,82.58341009,501.9128268
70,254.3637443,659.7825351,185.4014808,227.1499949,316.3399929,68.96226352,439.7652251
71,262.3156191,591.8221023,192.4431437,237.6499947,284.0299937,69.87247541,454.7587629
72,270.8981189,566.33694,198.9120966,232.4399948,312.089993,71.98602233,469.8102156
73,312.010618,639.9607422,212.8624994,236.8699947,415.5699907,99.14811867,524.8731174
74,283.9362437,744.7330761,206.0377961,225.329995,446.63999,77.89844751,489.9740398
75,274.1068689,705.0894903,200.7719648,236.3499947,384.3899914,73.33490408,474.8788337
76,239.0699947,665.4459045,171.9142389,211.3199953,304.6399932,67.15575573,410.9842336
77,224.93562,631.4656881,159.3665892,206.0899954,251.0899944,65.56903078,384.3022092
78,217.4799951,600.3171564,152.5475615,202.0899955,239.1399947,64.93243361,370.0275567
79,166.0918713,535.1884083,100.3319001,159.0299964,170.4299962,65.75997117,266.4237714
80,164.0462463,427.5843897,98.20364952,158.8199965,178.329996,65.84259681,262.2498959
81,160.6968714,416.2576509,94.67975408,151.6999966,180.489996,66.01711733,255.3766255
82,153.2581216,410.5942815,86.51567489,146.0799967,161.3699964,66.74244669,239.7737965
83,163.1824964,396.435858,97.30502695,141.3999968,189.7899958,65.8774694,260.4875233
84,151.7712466,353.9605875,84.96535748,138.6799969,205.1399954,66.80588913,236.7366041
85,145.4299967,280.3367853,78.80029351,133.159997,191.5699957,66.62970324,224.2302903
86,151.7662466,278.6377745,84.96034682,125.5299972,239.8499946,66.80589979,236.7265934
87,157.7849965,259.665487,91.43771708,135.599997,214.6299952,66.34727939,249.2227136
88,147.2987467,216.0575426,80.57169706,120.8599973,237.6799947,66.72704965,227.8704438
89,162.4206214,225.1189337,96.51238918,115.8199974,290.6099935,65.90823219,258.9330106
90,121.0193723,256.5506338,63.51934344,105.8699976,142.3199968,57.50002886,184.5387157
91,127.2924972,376.6140651,67.32123137,105.1899976,158.7799965,59.97126579,194.6137285
92,127.0537472,410.5942815,67.23811328,110.1399975,198.5699956,59.81563388,194.2918604
93,171.1462462,283.16847,105.5436012,113.8099975,287.2199936,65.60264496,276.6898474
94,125.2943722,238.4278517,66.44219905,99.42999778,168.7299962,58.85217315,191.7365713
95,138.1443719,214.6417003,71.80813402,98.98999779,231.6199948,66.33623789,209.9525059
96,265.5981191,322.8120558,195.3711677,122.0799973,1064.779976,70.2269514,460.9692867
97,185.5068709,402.0992274,120.0707376,121.1199973,449.31999,65.43613325,305.5776085
98,239.1031197,269.8595519,171.9434255,133.229997,650.9599854,67.15969412,411.0465452
99,224.003745,231.6318085,158.4941852,124.5099972,359.079992,65.50955978,382.4979302
100,223.811245,396.435858,158.3047944,121.8999973,371.2299917,65.50645057,382.1160394
101,192.9518707,634.2973728,128.1846553,131.9799971,420.0399906,64.76721538,321.136526
102,180.836246,574.8319941,114.7951454,134.469997,284.4199936,66.04110057,295.6313914
103,133.525622,281.1862907,69.32082921,105.9199976,224.839995,64.2047928,202.8464512
104,128.8487471,239.5605256,67.85792083,100.9599977,213.8999952,60.99082629,196.7066679
105,129.4331221,212.093184,68.05846393,102.9099977,287.0499936,61.37465818,197.491586
106,141.2856218,199.9169398,74.78385866,109.0599976,183.7899959,66.50176319,216.0694805
107,155.9093715,195.6694128,89.39806819,126.4099972,320.5399928,66.51130333,245.3074397
108,131.7143721,190.0060434,68.77859443,118.1399974,201.6399955,62.93577762,200.4929665
109,123.4137472,190.8555488,65.14755577,114.3899974,139.2999969,58.26619147,188.561303
110,119.3549973,200.2001083,62.38972992,110.8099975,132.079997,56.96526742,181.7447272
111,116.2287474,188.0238641,60.26976645,108.7599976,126.0699972,55.95898095,176.4985139
112,109.5231226,226.2516075,55.964742,105.5599976,116.2199974,53.55838055,165.4878646
113,97.77312281,200.4832768,48.08772385,89.549998,121.4599973,49.68539896,145.8608467
114,133.037497,170.1842505,69.1746974,85.40999809,518.6499884,63.86279963,202.2121944
115,110.6612475,171.0337559,56.70101494,84.60999811,257.4499942,53.96023259,167.3622625
116,107.4012476,236.7288409,54.59878415,82.06999817,277.3899938,52.80246345,162.0000317
117,141.5893718,279.7704484,75.09834468,84.14999812,374.7599916,66.49102715,216.6877165
118,198.1856206,300.1585782,133.8152987,88.03999803,1091.069976,64.37032189,332.0009192
119,222.429995,291.6635241,156.9375616,84.07999812,749.3399833,65.4924334,379.3675567
120,213.4293702,279.2041114,149.2386585,86.58999806,596.3399867,64.19071168,362.6680288
121,170.5468712,226.534776,104.9350214,89.01999801,744.2699834,65.61184979,275.4818926
122,139.0918719,199.3506029,72.61705816,85.44999809,338.5399924,66.47481373,211.70893
123,124.2756222,158.2911747,65.7349208,92.58999793,228.2799949,58.54070142,190.010543
124,150.2618716,109.019861,83.44899058,103.4999977,298.5699933,66.81288106,233.7108622
125,113.5799975,101.9406492,58.52148324,85.82999808,151.7499966,55.05851422,172.1014807
126,148.0268717,133.9386863,81.26190066,115.4999974,241.3599946,66.76497103,229.2887724
127,101.0581227,132.522844,50.41831344,88.24999803,128.0699971,50.6398093,151.4764362
128,89.263123,128.5584854,41.62334293,87.00999806,90.81999797,47.63978007,130.8864659
129,92.24812294,127.142643,43.9000079,83.50999813,184.1399959,48.34811503,136.1481308
130,83.02999814,125.7268007,36.90555215,80.5799982,89.259998,46.124446,119.9355503
131,78.84937324,88.06539417,33.8468191,76.50999829,93.39999791,45.00255413,112.6961923
132,60.79437364,118.6475889,19.97184023,59.56999867,62.24999861,40.82253341,80.76621387
133,58.66562369,115.5327358,18.10208097,56.91999873,67.0599985,40.56354272,76.76770466
134,55.87999875,75.03964455,15.66598125,52.67999882,70.42999843,40.2140175,71.54598
135,87.01937305,95.99411133,39.91117284,49.53999889,272.5099939,47.10820022,126.9305459
136,62.15499861,95.99411133,21.13896005,47.05999895,140.3199969,41.01603856,83.29395866
137,67.0081235,108.453524,24.96418424,44.779999,155.6599965,42.04393926,91.97230774
